N_Clients,N_Inputs,Client_Time,Client_Sent,Client_vOLE_Time,Client_vOLE_Sent,Server_Time,Server_Sent,Server_vOLE_time,Total_Sent
1,62006,4.80138,2047.69,4.67092,2000.07,4.78785,6.4e-05,4.66303,2047.6900640000001
1,274442,24.1584,9063.17,23.6367,8852.4,24.0726,6.4e-05,23.6525,9063.170064
1,817872,70.9528,27009.4,69.2659,26381.3,70.7439,6.4e-05,69.3957,27009.400064
4,62006,6.396455,2047.69,6.254054999999999,2000.07,7.35022,0.000256,6.061365,8190.7602560000005
4,274442,30.82885,9063.17,30.266550000000002,8852.4,30.6667,0.000256,29.4032,36252.680256
4,817872,91.3339,27009.4,89.1677,26381.3,91.6371,0.000256,86.6606,108037.600256
10,100000,26.2364,3302.4,25.6488,3225.6,27.4123,0.00064,24.83775,33024.00064
10,300000,80.57485,9907.2,79.18275,9676.8,81.2002,0.00064,75.8956,99072.00064
10,500000,136.93849999999998,16512.0,134.39499999999998,16128.0,134.9155,0.00064,128.131,165120.00064
20,100000,52.6369,3302.4,51.78985,3225.6,53.7941,0.00128,49.958200000000005,66048.00128
20,300000,163.7385,9907.2,161.4415,9676.8,161.121,0.00128,152.987,198144.00128
20,500000,273.368,16512.0,269.94899999999996,16128.0,267.516,0.00128,256.53700000000003,330240.00128
30,100000,79.975,3302.4,78.67134999999999,3225.6,80.1139,0.00192,75.6561,99072.00192
30,300000,247.476,9907.2,244.095,9676.8,240.135,0.00192,230.627,297216.00192
30,500000,NA,NA,NA,NA,NA
40,100000,107.9165,3302.4,106.499,3225.6,106.545,0.00256,101.985,132096.00256
40,300000,334.09299999999996,9907.2,331.024,9676.8,324.256,0.00256,311.634,396288.00256
40,500000,NA,NA,NA,NA,NA
50,100000,NA,NA,NA,NA,NA
50,300000,NA,NA,NA,NA,NA
50,500000,NA,NA,NA,NA,NA
