N_Clients,N_Inputs,Total_Time,Total_Sent,B2A_Time,B2A_Sent,L2_Time,L2_Sent,Aggr_Time,Aggr_Sent,Veri_Time,Veri_Sent
4,62006,0.408766,9.93258,0.226013,1.00275,0.15784,7.93753,0.0248249,0.9922,0.00221662,0.0001
4,274442,2.11395,43.9178,1.36475,4.39722,0.631234,35.1293,0.108608,4.39118,0.00223337,0.0001
4,817872,4.1134,131.01,2.00635,13.2354,1.76784,104.688,0.343074,13.0861,0.00220456,0.0001
10,100000,1.25671,37.6405,0.657682,4.03917,0.525094,32.0011,0.0662418,1.6001,0.00319229,0.000128
10,300000,3.63743,112.922,1.82971,12.1208,1.59378,96.0011,0.2082,4.8001,0.00323894,0.000128
10,500000,5.98474,188.194,2.98971,20.1928,2.63497,160.001,0.359092,8.0001,0.00318227,0.000128
20,100000,2.34913,73.6795,1.24787,8.07757,1.00548,64.0017,0.0908628,1.6001,0.00320141,0.000128
20,300000,6.97682,221.043,3.56216,24.2408,3.14339,192.002,0.257118,4.8001,0.00317781,0.000128
20,500000,11.8289,368.387,5.965465,40.3848,5.416315,320.002,0.4153695,8.0001,0.00319896,0.000128
30,100000,3.50596,109.723,1.83551,12.1208,1.55662,96.0024,0.100223,1.6001,0.00317223,0.000128
30,300000,10.5488,329.187,5.34713,36.3848,4.87796,288.002,0.310916,4.8001,0.00318176,0.000128
30,500000,17.8414,548.603,8.94853,60.6008,8.29498,480.002,0.434368,8.0001,0.00319242,0.000128
40,100000,4.56883,145.758,2.41465,16.1544,2.02134,128.003,0.118895,1.6001,0.00315713,0.000128
40,300000,13.9556,437.284,7.13279,48.4808,6.504555,384.003,0.326844,4.8001,0.0032524,0.000128
40,500000,23.7691,728.772,11.8862,80.7688,11.436,640.003,0.433651,8.0001,0.003193,0.000128
50,100000,5.80852,181.797,2.98509,20.1928,2.65485,160.004,0.127468,1.6001,0.00322624,0.000128
50,300000,17.4288,545.405,8.90483,60.6008,8.10421,480.004,0.382818,4.8001,0.00323152,0.000128
50,500000,29.5665,908.965,15.0716,100.961,13.3872,800.004,0.621393,8.0001,0.00319421,0.000128
