N_Clients,N_Inputs,Total_Time,Total_Sent,B2A_Time,B2A_Sent,L2_Time,L2_Sent,Cos_Time,Cos_Sent,DBSCAN_Time,DBSCAN_Sent,Bound_Time,Bound_Sent,Clip_Time,Clip_Sent,Aggr_Time,Aggr_Sent,B2A_Noise_Time,B2A_Noise_Sent,Noise_Time,Noise_Sent,Veri_Time,Veri_Sent
4,62006,2.30431,41.1099,0.433882,1.00224,0.0486143,3.96866,0.212371,31.7476,0.00143276,0.000551,1.4417e-05,0.0,0.00736824,0.0,0.0125248,0.0,1.53227,3.39849,0.0512552,0.9922,0.000430422,7.6e-05
4,274442,14.2524,181.722,2.86277,4.3967,0.223327,17.5646,0.800143,140.515,0.00149836,0.000551,1.568e-05,0.0,0.033261,0.0,0.066555,0.0,10.0011,14.853,0.250627,4.39118,0.000655798,7.6e-05
4,817872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,100000,6.00253,347.109,1.70308,4.03866,0.179042,16.0004,1.45727,320.004,0.0019157,0.000924,3.1059e-05,0.0,0.0298382,0.0,0.0644192,0.0,2.47039,5.46497,0.0909244,1.6001,0.000506266,7.6e-05
10,300000,18.5188,1041.3,5.12467,12.1203,0.567498,48.0004,4.92044,960.007,0.00174954,0.000924,3.0017e-05,0.0,0.0927819,0.0,0.206947,0.0,7.29413,16.3706,0.290702,4.8001,0.000345583,7.6e-05
10,500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,100000,12.892,1327.31,3.38263,8.07706,0.35217,32.0005,6.37273,1280.01,0.00225607,0.001537,0.000117823,0.0,0.0613282,0.0,0.111599,0.0,2.54856,5.61497,0.0882775,1.6001,0.000398432,7.6e-05
20,300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,100000,23.3681,2947.37,5.11077,12.1203,0.552423,48.0007,14.8372,2880.03,0.00255836,0.002156,0.000173347,0.0,0.0888879,0.0,0.146537,0.0,2.53519,5.61497,0.0887074,1.6001,0.000346334,7.6e-05
30,300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,100000,36.0769,5207.58,6.74665,16.1539,0.721703,64.0008,25.6225,5120.06,0.00319427,0.002769,0.000287833,0.0,0.109869,0.0,0.176634,0.0,2.59702,5.76497,0.0886287,1.6001,0.000587449,7.6e-05
40,300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,100000,53.1,8107.65,8.42071,20.1923,0.960317,80.001,40.7109,8000.09,0.00378747,0.003389,0.000729648,0.0,0.128877,0.0,0.214048,0.0,2.60736,5.76497,0.0899715,1.6001,0.000406487,7.6e-05
50,300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
