N_Clients,N_Inputs,Client_Time,Client_Sent,Server_MPC_pre,Server_MPC_veri,Server_Time,Server_Sent,Total_Sent
10,100000,0.270491819,56.41428565979004,11.693708502,8.2702e-05,11.968299676,0.0009307861328125,564.1437873840332
10,300000,1.503975702,201.24241065979004,50.411188611,0.050394986,51.991713806,0.0009307861328125,2012.4250373840332
10,500000,1.871587568,250.07053565979004,50.738160366,0.029287808,52.639035742000004,0.0009307861328125,2500.706287384033
20,100000,0.576114206,56.41428565979004,13.790927738,0.000147843,14.380449332,0.0018463134765625,1128.2875595092773
20,300000,2.962214861,201.24241065979004,58.526214577,0.000183551,61.632155236,0.0018463134765625,4024.8500595092773
20,500000,3.900243807,250.07053565979004,60.309478032,0.023542824,64.233264663,0.0018463134765625,5001.412559509277
30,100000,0.90898166,56.41428565979004,18.375346627,0.074268356,19.413776683,0.0027618408203125,1692.4313316345215
30,300000,nan,nan,nan,nan,nan,nan,nan
30,500000,nan,nan,nan,nan,nan,nan,nan
40,100000,1.263633456,56.41428565979004,22.304006174,0.001893251,23.748015625999997,0.0036773681640625,2256.5751037597656
40,300000,nan,nan,nan,nan,nan,nan,nan
40,500000,NA,NA,NA,NA,NA,NA,NA
50,100000,1.83366394,56.41428565979004,29.840592194,8.4404e-05,31.674340538,0.0045928955078125,2820.7188758850098
50,300000,nan,nan,nan,nan,nan,nan,nan
50,500000,NA,NA,NA,NA,NA,NA,NA
